 ,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year
180,MRF,EQ,17-Feb-17,50538.05,50780,50900,50001.05,50030,50102.2,50403.69,10380,523190274.1,6366,3819,36.79,2017
181,MRF,EQ,20-Feb-17,50102.2,50100,50595,49950,50478.7,50414.75,50375.5,4347,218982295.4,2594,1315,30.25,2017
182,MRF,EQ,21-Feb-17,50414.75,50451,50679.35,50100,50155,50195.4,50398.54,4084,205827621.6,2255,957,23.43,2017
183,MRF,EQ,22-Feb-17,50195.4,50399.95,50600,49577,49650,49767.85,50068.38,13002,650989021.3,7496,5145,39.57,2017
184,MRF,EQ,23-Feb-17,49767.85,49900,51700,49714.75,51500,51499.05,50819.04,22055,1120814024,10370,7890,35.77,2017
185,MRF,EQ,27-Feb-17,51499.05,51650,52029.95,50700,51320,51437.15,51555.46,13966,720023575.9,7946,4919,35.22,2017
186,MRF,EQ,28-Feb-17,51437.15,51437.25,52529.9,51370.05,51741.1,51835.05,52041.34,14966,778850621.2,6869,6283,41.98,2017
187,MRF,EQ,01-Mar-17,51835.05,51999,53150,51999,52875.25,52819.4,52812.02,13943,736357985.9,6154,2947,21.14,2017
188,MRF,EQ,02-Mar-17,52819.4,53185,53362.5,51845,52000,51951.6,52520.94,8861,465388052.6,4438,3141,35.45,2017
189,MRF,EQ,03-Mar-17,51951.6,52300,52630,51713.45,52399,52072.85,52171.86,12544,654443865.5,5735,3898,31.07,2017
190,MRF,EQ,06-Mar-17,52072.85,52398,52500,51951.05,52281,52375.55,52298.97,7600,397472199.8,3854,3027,39.83,2017
191,MRF,EQ,07-Mar-17,52375.55,52282,52565.85,51953.2,52210,52167.9,52186.49,6731,351267276.6,3191,2295,34.1,2017
192,MRF,EQ,08-Mar-17,52167.9,52260,52372.1,51086.7,51500,51527.8,51675.74,9537,492831575,5117,3786,39.7,2017
193,MRF,EQ,09-Mar-17,51527.8,51500,52366.65,51205,51950,52031.35,52045.33,12197,634796919.4,5892,6325,51.86,2017
194,MRF,EQ,10-Mar-17,52031.35,52366,52450,51950,52250,52220.3,52241.62,9186,479891489.7,3902,5187,56.47,2017
195,MRF,EQ,14-Mar-17,52220.3,52750,53427.95,52100,53189.95,52983.9,52868.11,18744,990959823.1,9481,8123,43.34,2017
196,MRF,EQ,15-Mar-17,52983.9,53381.25,57984,53291.25,57100,56836.6,56096.42,82609,4634069211,35887,25426,30.78,2017
197,MRF,EQ,16-Mar-17,56836.6,57300,57448.95,56200,56260,56425.55,56716.17,15441,875754448.6,7992,4665,30.21,2017
198,MRF,EQ,17-Mar-17,56425.55,56400,56700,54967.65,55352,55427.85,55648.67,43538,2422831813,15278,24649,56.61,2017
199,MRF,EQ,20-Mar-17,55427.85,56305,57090.65,55801,56105,56019.35,56304.37,23491,1322645963,9548,11301,48.11,2017
200,MRF,EQ,21-Mar-17,56019.35,56500,58300,55854.3,58200.05,58045.15,57313.83,28250,1619115754,12557,8921,31.58,2017
201,MRF,EQ,22-Mar-17,58045.15,57600,58450,57500,57751.15,57849.2,57945.95,20754,1202610230,10929,4528,21.82,2017
202,MRF,EQ,23-Mar-17,57849.2,58000,59684.35,57601,59260,59507.1,58851.01,36778,2164422347,16270,10160,27.63,2017
203,MRF,EQ,24-Mar-17,59507.1,59499.9,59650,59001,59251,59308.8,59320.57,19247,1141743037,9242,8457,43.94,2017
204,MRF,EQ,27-Mar-17,59308.8,59499,60145,59125.2,59760,59888.5,59745.77,20169,1205012442,11317,5569,27.61,2017
205,MRF,EQ,28-Mar-17,59888.5,59855.45,60300,57947.4,58425.55,58315.35,59173.46,19851,1174652405,11226,6512,32.8,2017
206,MRF,EQ,29-Mar-17,58315.35,58499.95,59790.8,57801,59690,59578.45,59006.33,24086,1421226384,11650,7775,32.28,2017
207,MRF,BL,30-Mar-17,2816.6,59300,59300,59300,59300,59300,59300,1800,106740000,1,1800,100,2017
208,MRF,EQ,30-Mar-17,59578.45,59125,60200,59125,59950,59823.65,59722.05,19147,1143498075,9363,6235,32.56,2017
209,MRF,EQ,31-Mar-17,59823.65,59550,61220,59550,61160,60954.45,60443.92,24685,1492058069,13815,9619,38.97,2017
210,MRF,EQ,03-Apr-17,60954.45,60935,61386.7,60240,60925,60993.55,61006.25,14263,870132140.4,8444,4455,31.23,2017
211,MRF,EQ,05-Apr-17,60993.55,60993.55,61271.75,60372,60551,60685.45,60840.5,12463,758255133.9,6573,4768,38.26,2017
212,MRF,EQ,06-Apr-17,60685.45,60552,61399,60211,61001,61104.85,60854.08,18995,1155923318,10295,6440,33.9,2017
213,MRF,EQ,07-Apr-17,61104.85,60655,61780,60601.1,60900,61036.15,61323.77,14389,882387722.3,8477,4398,30.57,2017
214,MRF,EQ,10-Apr-17,61036.15,61195.7,61382.95,60620,60900,60767.45,61004.05,7631,465521921.6,4559,1659,21.74,2017
215,MRF,EQ,11-Apr-17,60767.45,61179,62200,60901,62000,62063.4,61739.47,17051,1052719770,9536,3668,21.51,2017
216,MRF,EQ,12-Apr-17,62063.4,62010,62199.95,60062.4,60420,60527.1,60804.68,20550,1249536154,10782,7005,34.09,2017
217,MRF,EQ,13-Apr-17,60527.1,60530.85,61200,60300,60305.05,60566.55,60859.16,10623,646506834.9,5498,3147,29.62,2017
218,MRF,EQ,17-Apr-17,60566.55,60720,62158,60311.4,61950,61948.55,61477.14,21463,1319483849,8935,9528,44.39,2017
219,MRF,EQ,18-Apr-17,61948.55,61950,63099,61600.05,62598.75,62596.1,62559.32,23539,1472583817,10437,8322,35.35,2017
220,MRF,EQ,19-Apr-17,62596.1,62350,63300,62150.05,63100,63089.25,62920.69,12089,760648166.2,6476,1885,15.59,2017
221,MRF,EQ,20-Apr-17,63089.25,63005,63610,62751.1,63250,63500.8,63251.05,12427,786020772.1,6574,2362,19.01,2017
222,MRF,EQ,21-Apr-17,63500.8,63325,63698,63016.85,63380,63283.7,63363.51,9607,608733201.4,5097,2392,24.9,2017
223,MRF,EQ,24-Apr-17,63283.7,63120,64200,63110,64199.9,63995.35,63721.94,12079,769697256.8,5351,4327,35.82,2017
224,MRF,EQ,25-Apr-17,63995.35,64200,66755.55,63880,66486.95,66566.25,65457.96,28579,1870723165,13484,8851,30.97,2017
225,MRF,EQ,26-Apr-17,66566.25,66500,69848.75,66486.95,68720,68850.55,68457.15,43642,2987607085,23264,4810,11.02,2017
226,MRF,EQ,27-Apr-17,68850.55,69200,70500,68000,68112,68495.6,69455.07,50104,3479976924,20198,17375,34.68,2017
227,MRF,EQ,28-Apr-17,68495.6,68858.5,69000,67706,67750,67909.2,68209.43,17996,1227496952,10738,2765,15.36,2017
228,MRF,EQ,02-May-17,67909.2,68050,68899.8,67600.05,68783,68372.55,68136.87,17924,1221285306,9257,4378,24.43,2017
229,MRF,EQ,03-May-17,68372.55,68563.1,69750,68455.2,68519.75,68639.9,69051.25,17264,1192100778,8770,4562,26.42,2017
230,MRF,EQ,04-May-17,68639.9,68944,69173.5,66501,66900,67022.55,67802.45,28669,1943828393,13370,7537,26.29,2017
231,MRF,EQ,05-May-17,67022.55,66861,68399,66500.05,68300,68135.95,67680.16,20751,1404431007,11342,3681,17.74,2017
232,MRF,EQ,08-May-17,68135.95,68499.9,68720,67450,67501.1,67634.1,68023.31,12208,830428568.1,5321,5494,45,2017
233,MRF,EQ,09-May-17,67634.1,68200,68200,66587.4,66625.05,66683.05,66918.26,16105,1077718543,8256,7675,47.66,2017
234,MRF,EQ,10-May-17,66683.05,66800.1,66999,65822.2,66066,65936.7,66316.95,17167,1138463043,8761,7343,42.77,2017
235,MRF,EQ,11-May-17,65936.7,66000,67371.8,65902.1,66030,66055.95,66434.02,15027,998304092,8064,6119,40.72,2017
236,MRF,EQ,12-May-17,66055.95,66105,66488,65300,65300,65455.15,65682.98,9995,656501385.1,5135,4014,40.16,2017
